element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Tm	1	"516.0543"	"0.0005"	"516.054+"	"390"	"3.7e+05"	E	"1.0874955"	"3.489370"	"4f13.(2F*).6s2"	"2F*"	"5/2"	"4f13.(2F*<5/2>).6s.6p.(3P*<2>)"	"(5/2,2)"	"3/2"	6	4		"T3338n"	"L2006"	
Tm	1	"516.8198"	"0.0005"	"516.8203+"	"8"	"3.1e+05"	C	"2.6951295"	"5.0934425"	"4f12.(3F<4>).5d<3/2>.6s2"	"(4,3/2)"	"9/2"	"4f12.5d.6s.6p"	"*"	"11/2"	10	12		"T6708"	"L2006"	
Tm	1	"517.4612"	"0.0005"	"517.4617+"	"15"	"3.32e+05"	B+	"2.3176458"	"4.7129859"	"4f12.(3H<6>).5d<5/2>.6s2"	"(6,5/2)"	"15/2"	"4f12.5d.6s.6p"	"*"	"13/2"	16	14		"T6708"	"L2006"	
Tm	1	"518.5249"	"0.0005"	"518.524+"	"400*"	"7.2e+05"	B	"1.0874955"	"3.477927"	"4f13.(2F*).6s2"	"2F*"	"5/2"	"4f13.(2F*<5/2>).6s.6p.(3P*<2>)"	""	"5/2"	6	6		"T6708"	"L2006,L3475"	
Tm	1	"519.9107"	"0.0005"	"519.911+"	"190"	"1.23e+07"	B	"2.5301257"	"4.914183"	"4f13.(2F*<7/2>).5d.6s.(3D)"	"3[3/2]*"	"5/2"	""	""	"3/2"	6	4		"T6708"	"L2006"	
Tm	1	"520.7125"	"0.0005"	"520.7126+"	"75"	"6.2e+05"	B+	"2.1641216"	"4.5445074"	"4f12.(3H<6>).5d<3/2>.6s2"	"(6,3/2)"	"13/2"	"4f12.(3H<6>) .5d.(2D).6s.6p.(3P*?) (2D*<3/2>)"	"(6,3/2)*"	"15/2"	14	16		"T6708"	"L2006"	
Tm	1	"521.2650"	"0.0005"	"521.2647+"	"120"	"5.0e+05"	B+	"1.8933629"	"4.2712276"	"4f12.(3H<6>).5d<3/2>.6s2"	"(6,3/2)"	"15/2"	"4f12.(3H<6>).5d.6s.6p.(4F*<5/2>)"	"(6,5/2)*"	"13/2"	16	14		"T6708"	"L2006"	
Tm	1	"521.3376"	"0.0005"	"521.337+"	"800"	"5.7e+06"	B+	"2.0403972"	"4.417930"	"4f12.(3H<6>).5d<5/2>.6s2"	"(6,5/2)"	"17/2"	"4f12.(3H<6>) .5d.(2D).6s.6p.(3P*?) (2D*<5/2>)"	"(6,5/2)*"	"17/2"	18	18		"T6708"	"L2006,L3475"	
Tm	1	"521.6243"	"0.0005"	"521.624+"	"8"	"1.05e+05"	C+	"2.3176458"	"4.693871"	"4f12.(3H<6>).5d<5/2>.6s2"	"(6,5/2)"	"15/2"	"4f12.(3H<6>).5d.6s.6p.(4D*<7/2>)"	"(6,7/2)*"	"15/2"	16	16		"T6708"	"L2006"	
Tm	1	"521.8035"	"0.0005"	"521.8034+"	"130"	"1.39e+06"	B+	"2.3375761"	"4.7129859"	"4f12.(3H<6>).5d<5/2>.6s2"	"(6,5/2)"	"11/2"	"4f12.5d.6s.6p"	"*"	"13/2"	12	14		"T6708"	"L2006"	
