element	sp_num	obs_wl_air(nm)	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Li	3	""	"449.9032561"	"0.0000025"	""	"2.0945e+08"	AA	"(114.801621761)"	"(117.5566457954)"	"4d"	"2D"	"5/2"	"5f"	"2F*"	"7/2"	6	8		"T8637"	""	
Li	3	""	"449.9095915"	"0.0000024"	""	"1.9480e+05"	AA	"(114.8016214842)"	"(117.556606724)"	"4f"	"2F*"	"5/2"	"5d"	"2D"	"5/2"	6	6		"T8637"	""	
Li	3	""	"449.9096598"	"0.0000025"	""	"1.3963e+07"	AA	"(114.801621761)"	"(117.5566065829)"	"4d"	"2D"	"5/2"	"5f"	"2F*"	"5/2"	6	6		"T8637"	""	
Li	3	""	"449.9118883"	"0.0000023"	""	"3.4476e+08"	AA	"(114.8016980730)"	"(117.5566692492)"	"4f"	"2F*"	"7/2"	"5g"	"2G"	"9/2"	8	10		"T8637"	""	
Li	3	""	"449.9157307"	"0.0000023"	""	"1.2313e+07"	AA	"(114.8016980730)"	"(117.5566457216)"	"4f"	"2F*"	"7/2"	"5g"	"2G"	"7/2"	8	8		"T8637"	""	
Li	3	""	"449.9220996"	"0.0000024"	""	"3.8957e+06"	AA	"(114.8016980730)"	"(117.556606724)"	"4f"	"2F*"	"7/2"	"5d"	"2D"	"5/2"	8	6		"T8637"	""	
Li	3	""	"449.9223809"	"0.0000025"	""	"1.3745e+07"	AA	"(114.801621761)"	"(117.5565286896)"	"4d"	"2D"	"5/2"	"5p"	"2P*"	"3/2"	6	4		"T8637"	""	
Li	3	""	"449.9224003"	"0.0000024"	""	"4.0906e+06"	AA	"(114.8016214842)"	"(117.556528294)"	"4f"	"2F*"	"5/2"	"5d"	"2D"	"3/2"	6	4		"T8637"	""	
Li	3	""	"449.9331850"	"0.0000023"	""	"3.4851e+07"	AA	"(114.8014693419)"	"(117.5563101193)"	"4p"	"2P*"	"3/2"	"5s"	"2S"	"1/2"	4	2		"T8637"	""	
Li	3	""	"449.9357980"	"0.0000025"	""	"1.5273e+07"	AA	"(114.801468575)"	"(117.5562933536)"	"4d"	"2D"	"3/2"	"5p"	"2P*"	"1/2"	4	2		"T8637"	""	
Li	1	"460.283"	"460.2821"	"0.0010"	"13"	"1.935e+07"	AA	"1.847818"	"4.540720"	"1s2.2p"	"2P*"	"1/2"	"1s2.4d"	"2D"	"3/2"	2	4		"T6620LS"	"L7397"	
Li	1	"460.289"	"460.2889"	"0.0010"	"13*"	"2.322e+07"	AA	"1.847860"	"4.540723"	"1s2.2p"	"2P*"	"3/2"	"1s2.4d"	"2D"	"5/2"	4	6		"T6620LS"	"L7397"	
Li	1	"460.289"	"460.2893"	"0.0010"	"13*"	"3.871e+06"	AA	"1.847860"	"4.540720"	"1s2.2p"	"2P*"	"3/2"	"1s2.4d"	"2D"	"3/2"	4	4		"T6620LS"	"L7397"	
Li	2	""	"463.7675"	"0.0010"	""	"4.6514e+06"	AAA	"69.589060"	"72.261724"	"1s.3d"	"1D"	"2"	"1s.4p"	"1P*"	"1"	5	3		"T8636c73"	""	
Li	2	""	"467.140"	"0.010"	""	"5.453e+07"	AA	"69.585282"	"72.238654"	"1s.3d"	"3D"	"2"	"1s.4f"	"1F*"	"3"	5	7		"T8636c73"	""	
Li	2	"467.151"	"467.1629"	"0.0010"	"*"	"3.4415e+07"	AAA	"69.585282"	"72.238522"	"1s.3d"	"3D"	"2"	"1s.4f"	"3F*"	"2"	5	5		"T8636c73"	"L3501"	
Li	2	"467.151"	"467.1629"	"0.0010"	"*"	"1.4221e+08"	AAA	"69.585282"	"72.238522"	"1s.3d"	"3D"	"2"	"1s.4f"	"3F*"	"3"	5	7		"T8636c73"	"L3501"	
Li	2	""	"467.153"	"0.010"	""	"7.265e+06"	AA	"69.585359"	"72.238654"	"1s.3d"	"3D"	"3"	"1s.4f"	"1F*"	"3"	7	7		"T8636c73"	""	
Li	2	"467.165"	"467.1764"	"0.0010"	"6*"	"9.8366e+05"	AAA	"69.585359"	"72.238522"	"1s.3d"	"3D"	"3"	"1s.4f"	"3F*"	"2"	7	5		"T8636c73"	"L3501"	
Li	2	"467.165"	"467.1764"	"0.0010"	"6*"	"1.7326e+07"	AAA	"69.585359"	"72.238522"	"1s.3d"	"3D"	"3"	"1s.4f"	"3F*"	"3"	7	7		"T8636c73"	"L3501"	
Li	2	"467.165"	"467.1764"	"0.0010"	"6*"	"2.2133e+08"	AAA	"69.585359"	"72.238522"	"1s.3d"	"3D"	"3"	"1s.4f"	"3F*"	"4"	7	9		"T8636c73"	"L3501"	
Li	2	"467.170"	"467.1880"	"0.0010"	"2"	"1.8592e+08"	AAA	"69.585425"	"72.238522"	"1s.3d"	"3D"	"1"	"1s.4f"	"3F*"	"2"	3	5		"T8636c73"	"L3501"	
Li	2	"467.806"	"467.8056"	"0.0010"	"3"	"1.5931e+08"	AAA	"69.589060"	"72.238654"	"1s.3d"	"1D"	"2"	"1s.4f"	"1F*"	"3"	5	7		"T8636c73"	"L3501"	
Li	2	""	"467.829"	"0.010"	""	"1.235e+04"	AA	"69.589060"	"72.238522"	"1s.3d"	"1D"	"2"	"1s.4f"	"3F*"	"2"	5	5		"T8636c73"	""	
Li	2	"467.829"	"467.829"	"0.010"	"1"	"6.172e+07"	AA	"69.589060"	"72.238522"	"1s.3d"	"1D"	"2"	"1s.4f"	"3F*"	"3"	5	7		"T8636c73"	"L3501"	
Li	2	"478.836"	"478.8362"	"0.0010"	""	"1.1368e+08"	AAA	"69.648473"	"72.237031"	"1s.3p"	"1P*"	"1"	"1s.4d"	"1D"	"2"	3	5		"T8636c73"	"L3501"	
Li	2	""	"479.239"	"0.010"	""	"2.116e+04"	AA	"69.648473"	"72.234857"	"1s.3p"	"1P*"	"1"	"1s.4d"	"3D"	"2"	3	5		"T8636c73"	""	
Li	2	""	"484.2775"	"0.0010"	""	"1.3974e+06"	AAA	"69.585282"	"72.144756"	"1s.3d"	"3D"	"2"	"1s.4p"	"3P*"	"2"	5	5		"T8636c73"	""	
Li	2	""	"484.2920"	"0.0010"	""	"7.8286e+06"	AAA	"69.585359"	"72.144756"	"1s.3d"	"3D"	"3"	"1s.4p"	"3P*"	"2"	7	5		"T8636c73"	""	
