element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Ba	1	"393.78681"	"0.00010"	"393.78682+"	"59"	"1.1e+07"	E	"1.1425765"	"4.2901961"	"6s.5d"	"3D"	"2"	"6s.4f"	"3F*"	"2"	5	5		"T4515"	"L9224"	
Ba	1	"399.33989"	"0.00010"	"399.33989+"	"530"	"5.5e+07"	E	"1.1898185"	"4.2936694"	"6s.5d"	"3D"	"3"	"6s.4f"	"3F*"	"4"	7	9		"T4515"	"L9224"	
Ba	1	"399.56551"	"0.00010"	"399.56552+"	"61"	"8.8e+06"	E	"1.1898185"	"4.2919167"	"6s.5d"	"3D"	"3"	"6s.4f"	"3F*"	"3"	7	7		"T4515"	"L9224"	
Ba	2	"413.06491"	"0.00010"	"413.06491+"	"910"	"2.18e+08"	B	"2.7217512"	"5.7224717"	"6p"	"2P*"	"3/2"	"6d"	"2D"	"5/2"	4	6		"T3225,T7387"	"L9224"	
Ba	1	"413.24266"	"0.00010"	"413.24266+"	"309"	"1.46e+06"	B	"0.0000000"	"2.9994298"	"6s2"	"1S"	"0"	"5d.6p"	"3D*"	"1"	1	3		"T5037,T5495"	"L9224"	
Ba	2	"416.60014"	"0.00010"	"416.60013+"	"103"	"3.54e+07"	B	"2.7217512"	"5.6970085"	"6p"	"2P*"	"3/2"	"6d"	"2D"	"3/2"	4	4		"T3225,T7387"	"L9224"	
Ba	2	"421.604"	"0.010"	"421.6129+"	""	"5.09e+06"	B	"6.1235575"	"9.063441"	"7p"	"2P*"	"1/2"	"10d"	"2D"	"3/2"	2	4		"T3225,T7387"	"L6094"	
Ba	1	"423.95552"	"0.00010"	"423.9555+"	"25"	"2.4e+07"	E	"1.6756148"	"4.5992541"	"6s.6p"	"3P*"	"2"	"5d.6d"	"3S"	"1"	5	3		"T4515"	"L9224"	
Ba	1	"424.26050"	"0.00010"	"424.2605+"	"17"	"5.6e+06"	E	"1.5667416"	"4.4882791"	"6s.6p"	"3P*"	"1"	"5d.6d"	"3D"	"2"	3	5		"T4515"	"L9224"	
Ba	1	"426.44174"	"0.00010"	"426.4417+"	"42"	"1.5e+07"	E	"1.5207932"	"4.4273876"	"6s.6p"	"3P*"	"0"	"6s.7d"	"3D"	"1"	1	3		"T4515"	"L9224"	
